DRIVER    VOLUME NAME
local     0abd7f8439257d25610fbaee25ae7daf82c70ab88283b39a08f77585e6358367
local     0befb77aa9c8e377d4411c03365ccdca9df2e990dd89c933f76bdf5c685304d6
local     0d79f34a939bbee9f78ae9f7635b66baffa2e7ab837b10dc50f1d297506ca4af
local     1e7f9055a09351db5f21b3f1d6c0bf5107d9ea48329d4d00508228b97ca7473a
local     2b9644bd0d41039b0e30386f2a19d0fd80cfe43cef9c5fdf0bd4f9700fbbb6e2
local     3ba0d95ff9adefee49c3b4039a6e5b4e2ba067bfaa270e9651f3bd267f42ec95
local     3c3f998504e862337bb4064c1060df028fb398eac33f4e2bfb91fa814ec28ed3
local     4b824cc6650c28322907412c7c4e516afd9f466ca5427acac0d406724050f5e0
local     4d92959d009920abbbc5f61978092bb05a35892c99d8c03f14b4b7bdbb5887f4
local     4ff33888ef1f72c86074cfe1de02ae630dbec6feaa47fa12b7a5ece5a66dfeb8
local     5c31ce2e678d9c0753394673a9df2253aee55db74c6b1d491b2e42b9fb4bc047
local     6e490f03084928192934ce808c44c4a20d3b9705640cdd46fbb436f18ac1c1fa
local     7aa1cc467ca25e8fa22ea142366bf7c0db9fc69c5228f2263eeccdf0fe597244
local     7f1cc3e6f7db584d120fec508e0d981d583453ed84527a45f9d4d5f11eb096e3
local     8e33d32efb5b4b47b810b16d4f291f6f1c75cad9b30275d0a6ff661c4cfb9437
local     9e95d7c521e940369a045c0bf2301092b7d62d7122be9879fba0fc799d7ddc83
local     9e57185ff7612eb61765d656622e6933b6c99c6ae3be661b90b2c202f262d4dd
local     9f86ba73a426cd8b5dd8b2b0e7864cae460c8ae5f29be6b21d502267fa8e76c5
local     16a1f5e025b8e27c7ef29040a6e4e90bc7c067416a94b3f4bc31a3671c24000e
local     17c4713d5c1de2a3be65b0c4ed31eb572ceb565806342418f71c856afb299a65
local     18b842785abd5b11025bdee30d55530657c75b2ad447d0efa18495504a3bc856
local     40a86749b9a516ff8dbf32b5ef4e247dd53792a0fc5809f485f40c24d951a00b
local     63d929e8435ed4ff6b7a1185d6538125f8b7b77af588802857151777971788b3
local     87a3052578f56b16abc3a75ed55abaafec9788e58d999455a01ded45fda4d88a
local     93b48fc08d82eb4e5c0ef2c53581035c466887d78a0de344e8dd10da75fef97e
local     93b1280d7123c9f66a825325fd94ccee0f258faa2542f97864fcde20b3b8cbdf
local     98d209b2b02e4287e9aaa30172f51e06d7cca185e538d648bfd885b5cf3aec08
local     150a2a31858d5fd7a3c87f13fa0b9eb155d36081faf53beb5d335c8a33053846
local     259f10a7102b6d2b2bf2faa7b3a1cb753f6171da12f99af37ed18ae0a2b72e80
local     487cdaef2e62c112eabb79f1f74c9348d290294d14c2f8e42fe7f349794296c3
local     0488c204f127596eee5e9f5f2c917e6d9e591939efd7767d4620cdaa8663eedd
local     537d7e58f6f9c25c9a854305d755d2b4779a72e50d52a14bca470344c98c41f2
local     723c9e17dcac260a74a14d842965cb4ff4329738568972f8bf1db21e5760d97e
local     728f74cf2060f8787a863e3134acb1249cfad005871d93815697cb5c2b29960f
local     744f438008fe71358dab72f94e9ad70eecdfe507395cc117fe3db39cb61b983b
local     767dc10d07b4fac44cf20355746c8f0adffe1563d3203a873170e4b11bfd86ea
local     945abe1d36b3d806ef0602ed3cb5f0ab5c8d3f83d882d8a5fa63a1b53d41aa11
local     962c14ae718ba94d17654687c51df580580852acbf75b9a0c38c8bb7f68ea112
local     981d70903303e625776c0fadcd80ec52709862f92d47315cadf350ccbfe61c98
local     01389ba6e402960850a142f82223d74558091c917e918fb4ca653eea5f71c56d
local     3127bbff9610fb659f2432d12585eca76f79ff54c2e364b3ba9268786f9d8911
local     3703bd23bc74393bcba45ef387fb16156f1431ee1c92ed7e0a96816e9e0ac091
local     59884c38f14d07cb9cf33de9ce44387dc0dbdb346d721e25161d688c84c36869
local     285117fc41738740e24aaef01c72cd9f04e26cd632d53478a8f7efbbc1e91151
local     912094b7489d9f93beb34e4d46fdda1c572e471bf8e3fa84f2dfa556cf670e96
local     05112758dde08897332260e2cc0805ba10137ff8300a9001a90b4b3fb7f5b848
local     8570744de593aae27af17bf77cc1e4811d0ece45d22371487f464522e7ccbb29
local     874549660eb6817ec138f389c8b7050541c091bcd390f190ffb74a04c8608b25
local     39863846073acc0c0b9ed5324f94ad3b57dedb7c8e9fe8fee3bbc9e822d727f1
local     a2dd7d97a6e20c22ef1ea7c57a8d3b5d0088a0da96e5f81b1ca1ebf6ba464f05
local     a3e67a0da9f36d16688b3863d55f7950e9224bdc604726e5022f4f5b3bc7155b
local     a900f834e8793c5847edbd2f95c4ea80c507eea91aec0a490b432d0d4caa4f34
local     ad6873cb7ca243ae2cc8eeef3a2c47f112b7d41c79884270b44a21174078572c
local     b1bae9c6e9e79a53fa3b228322daa468581e6a7608053503c028fd2d5dff6acc
local     b9b6506cb986f741f4aab23509c038a893b47062b93d82eeb702a1bf6e15c40e
local     b8972d24649542811782a3f28d07ddf413d3e5c93f1aac27059da5cda79fa8a7
local     b32965aa6792fbd600139ef653b687e3f199f4bd04b7b8e85680eaf9c1562e39
local     bd2bf83667fd920fc0a629c143684c50934aa30ae2324cb527979f967a249e60
local     bf4d942ded427ab9639dccfa4216d0b095461725f0715c2b51a6de8944f7ef20
local     c1dd1049edec7531c3c73a77a54dae054b1e5b186a439f3347edb398e59d714b
local     c7e3f508b12d83cea24bb865318183a5e12738e47f4ff5db1b1e2ebbd7f6a196
local     c8ffa9b763205b1c871046617356c230fa71dda2d81a6a318e0faf2882ca1a67
local     c39972a67c6ba1d27305ea007416aa5d50206decdeead0ed44f9c5ff8544f569
local     ce6695313a9910d1d73bcb9e7f0581c891fb16429e7d626a7c9cd2b55a2e8046
local     d3ffa52a3dd4f5a59529d3b523d8a3f618db7f6665b8c2c8c522b01f55a55a46
local     d9ea415a6d093ff097b03f676e6e4edc672c2aafb5fa00afaad6573393f4fd3b
local     d48dd1ff63eb79362370efb808d5d5cc3bb50e48615ef12eca27078e40f563eb
local     d60c3ec247979ab7c0c001007d5ba4355668bef6665e7e350fb201d88caaf117
local     db4c3db1ade063015615f72bb80e475b41ff336dc3841446d9208bbee8ab6318
local     dbcc8b943fa56d11ebbb12779d067abadb296fdde0873b54b8ee87d8a983c364
local     deploy_odoo-db-data
local     deploy_odoo-filestore
local     deploy_odoo-logs
local     e03f9e3779899bbe9d242fa15b33a45ddc625a02191ea898a0069ecaaf8fc09f
local     e07ed5862a8ecdc8a54f43e593851bf7ad991bfda3279cd3c374f388df7cc2d1
local     e38dcdf30ba0fbc7fc77b583a38cca682b2b7fba4eef69abd77af71ea1da4414
local     eb6cbb9a35e5809137a4226641cbc138eccb19862185f05753ecf78bedac7afb
local     ee148912043fb58d13c0a571236c1d2c33def87dc8cda68f6cafd4a8b1331773
local     f40d827c2318ce7d52f3136acf0000b205facb327a0de741e52049faa2823486
local     f80a0ca1e9bd4169e3c1f575352b5ad71cfd9ba8aae4875155ad7f0f99a56d9b
local     f087f9ba56e7bfa01c62a9c447239b5df9a1cdfbc79ec37fc30357d28ac408e2
local     f409a0fb376d370fb8709d19db28ef7392490c7bd117cb1012cb8a81c5c83bbb
local     f5721c39b0ad3214d2985443c6d11f88c972df67b9e242d69c7366b8e4788f9f
local     mattermost-ha_mattermost_minio
local     mattermost-ha_mattermost_pgdata
local     n8n_data
local     n8n_n8n_data
local     n8n_postgres_data
local     n8n_redis_data
local     odoo-ce_ipai-db-data
local     odoo-ce_ipai-filestore
local     odoo-ce_odoo-accounting-web-data
local     odoo-ce_odoo-core-web-data
local     odoo-ce_odoo-marketing-web-data
local     odoo-ce_odoo-postgres-data
local     odoo-ce_odoo-web-data
local     odoo-ce_odoo_db_data
local     odoo-ce_odoo_filestore
local     odoo-filestore
local     odoo-logs
local     odoo-prod_odoo-web-data
local     odoo-web-data
local     odoo_caddy_config
local     odoo_caddy_data
local     odoo_keycloak_pgdata
local     odoo_mattermost_config
local     odoo_mattermost_data
local     odoo_mattermost_logs
local     odoo_mattermost_pgdata
local     odoo_mattermost_plugins
local     odoo_n8n_data
local     odoo_n8n_pgdata
local     odoo_odoo-db-data
local     odoo_odoo-filestore
local     odoo_odoo-logs
local     odoo_odoo_data
local     odoo_pgdata
local     services_agent-temp
local     services_nginx-ssl
local     services_ocr-uploads
local     tax-rules-service_caddy_config
local     tax-rules-service_caddy_data
local     tmp_odoo-production-filestore
